AttachmentURL,IsDiscountCreatePageSearchEnabled,Rating,TotalReviews,ProductId,ProductName,ShortDescription,FullDescription,VendorId,ManufacturerId,MetaTitle,MetaKeywords,MetaDescription,Price,OldPrice,IsTaxExempt,IsShippingFree,EstimatedShippingDays,ShowOnHomePage,AllowCustomerReviews,IsReturnAble,IsDigitalProduct,IsDiscountAllowed,SellStartDatetimeUtc,SellEndDatetimeUtc,Sku,CreatedOn,ModifiedOn,WarehouseId,InventoryMethodId,StockQuantity,IsBoundToStockQuantity,DisplayStockQuantity,OrderMinimumQuantity,OrderMaximumQuantity,MarkAsNew,DisplaySeqNo,IsActive,DiscountProductsMappings,OrderItems,ProductDigitalFileMappings,ProductPicturesMappings,ProductProductAttributeMappings,ProductReviews,ProductShippingMethodsMappings,ProductsCategoriesMappings,ProductsTagsMappings
/content/commonImages/productImages/eae_61Cpp-TQC8L._AC_SL1500_.jpg,False,0,0,3388,"Metal Wall Art, Metal Om Decoration, Namaste Decoration, Aum Symbol, Om Wall Art, Yoga Studio Decoration, Yoga Wall Decoration.","Looking For Something Classic to Gift and something decorative for Your Home / Office? This Beautiful And Unique Ganesh ji Statue Fits Almost Perfect For Any Room. Adorn your interiors with this beautiful Showpiece . Simple yet attractive in design, the statue by kriday kraft features a sophisticated case. These statue enhance the look of your room, pooja hall, office table etc . The highlight of this masterpiece is the beautifully done carving showing all the details with utmost finesse. Make a righteous choice for your interior that is crafted with metal ensuring a traditional look.","<ul>
<li>Elegant Decor: Add a touch of sophistication to your living space with this exquisite brass Om symbol wall art piece.</li>
<li>Meaningful Design: The sacred Om symbol represents the vibration of the universe, making it a perfect addition to meditation rooms or yoga studios.</li>
<li>Versatile Placement: This decorative wall hanging can be mounted on any wall to create a serene and calming atmosphere.</li>
<li>Sturdy Construction: Crafted from high-quality brass, this wall decor is built to last and maintain its luster for years to come.</li>
<li>Wall d&eacute;cor hanging for door, walkway, temple or living room.</li>
<li>Unique gift for weddings, anniversary, Perfect for home decorations, office decorations, apartment gifts, relationship gifts, symbolic gifts or use for decor.</li>
<li>Om is a Sacred Sound and Sacred Symbol. Representing the Three Worlds: Earth, Atmosphere, and Ether.<a title=""Brass sacred om symbol meditation room yoga decor brass decor brass wall art wall decorations."" href=""https://www.amazon.com/dp/B0814X7JWK?th=1"" target=""_blank"" rel=""noopener"">Brass sacred om symbol meditation room yoga decor brass decor brass wall art wall decorations.</a></li>
</ul>",1027,8,Wall Art,Brass-sacred-om-symbol-meditation-room-yoga-decor-brass-decor-brass-wall-art-wall-decorations-Metal-Wall-Art-Metal-Om-Decoration-Namaste-Decoration-Aum-Symbol-Om-Wall-Art-Yoga-Studio ,"                                                                                                                                                                Metal Wall Art, Metal Om Decoration, Namaste Decoration, Aum Symbol, Om Wall Art, Yoga Studio Decoration, Yoga Wall Decoration                                     
                                    
                                    
                                    
                                    
                       ",799,1200,False,True,1,True,True,True,False,True,"Tuesday, 12 November 2024","Thursday, 14 November 2024", Wall-sculptures-911,"Friday, 18 October 2024","Sunday, 16 February 2025",,,982,False,True,1,,True,0,True,[],[],[],[],[],[],[],[],[]
/content/commonImages/productImages/e31_vinyl-floor-sticker-diwali-rangoli-deccor-wall-decals.jpg,False,0,0,3387,"Rangoli Floor Sticker, Vinyl decals, PVC floor stickers, Home Interior Decoration, Gift for Home, Floor Décor, Indian Wedding, Festival Decoration, Gift Return Gift,","Parijat Handicraft presents rangoli stickers for floor decoration for DIWALI. This is used to decorate your floor in festive seasons. This gives a rich and elegant look and thus positivity. There is no need to use glue, Just place it on the ground/floor and it will automatically stick using its glue. A beautiful rangoli is ready to decorate your auspicious Pooja room and will look absolutely stunning at your house during functions.","<ul>
<li>This wall sticker decorative textured contact paper is Removable, Waterproof, Heat resistant, Oil-resistant, Re-positionable and Eco-friendly. Wolpin floral wall decals is made with High quality Eco and durable PVC material.</li>
<li>The wallpaper can refresh the looks of your Almirah kitchen, bedroom, living room, dining room, house, and kitchen counter, backslash, for daily usage - waterproof, oil proof and dust proof.</li>
<li>Wall sticker is a sticker that is affixed to a wall or other smooth surface for decoration and also to express your different emotions.</li>
<li>PVC's abrasion resistance and lightweight characteristics are the key technical advantages for its use in making these wall stickers</li>
<li>Material: PVC Vinyl, Color: Multicolour</li>
<li>This is ideal gift for different occasions such as Housewarming parties, Return gift, Anniversary gift, Pooja, Marriage, Corporate gift, Kitty Parties, Diwali, Festivals Dussera, Rakhi, Makar Sakaranti, Pongal, Lohri</li>
<li>Dimention : Length 12 Inch x Width 12 Inch, Weight 29 Gram Approx.</li>
<li><span style=""font-size: 14pt;""><a title=""Rangoli Floor Table Sticker"" href=""https://www.amazon.com/dp/B0C1BQ2XZB"" target=""_blank"" rel=""noopener"">You Can Buy On Amazon from PARIJAT HANDICRAFT</a></span></li>
</ul>",1028,8, floor-sticker-15120,"Rangoli-Floor-Sticker-Vinyl-decals-PVC-floor-stickers-Home-Interior-Decoration-Gift-for-Home-Floor-Décor-Indian-Wedding,-Festival-Decoration-Gift-Return-Gift.","                                                                                                                                                                                                                                                                                                                                                                                                                                                        Rangoli Floor Sticker, Vinyl decals, PVC floor stickers, Hom",499,700,False,True,1,True,True,True,False,True,"Tuesday, 12 November 2024","Thursday, 14 November 2024", floor-sticker-15120,"Friday, 18 October 2024","Wednesday, 19 February 2025",,,483,False,True,1,,True,0,True,[],[],[],[],[],[],[],[],[]
/content/commonImages/productImages/fac_steel-copper-brass-dinner-sets-copper-dinner-plates-BOWL-spoon-fork.jpg,False,0,0,3386,"Copper stainless steel traditional dinner set of thali plate, bowls, glass and spoon beautifully handcrafted tableware for gift.","Dinnerware Set of 3 Bowls, 1 Water Glass, 1 Dinner Plate Thali, 1 Dessert Spoon, 1 Sweet Dish
Thali Diameter: 31 Cm, Height: 3.5 Cm
Bowl Diameter: 8.5 Cm, Height: 4 Cm, Volume: 150 ML
Glass Diameter: 8 Cm, Height: 10 Cm, Volume: 350 ML","<p><strong>Steel Copper Traditional Dinner Set Of Thali Plate, Bowls, Glass And Spoon</strong><br /><strong>This is a dinnerware thali plate set consists of 1 plate (Thali), 4 bowls, 1 tumbler, 1 dessert spoon, 1 fork and 1 knife. In India, most of their dishes are served simultaneously in a thali. A thali is a round platter with an eared rim. Entire meals can be served using this simple plate. The thali is generally made with steel or copper. Other dishes served on a thali include vegetables, yogurt, chutney, and pickles. In restaurants, vegetarian or meat-based thalis can be served. Thali is delightful ways to enjoy Indian cuisine. It serves a balanced meal in itself and the flavors are so well rounded that palates will certainly be satisfied.&nbsp;</strong></p>
<p>&nbsp;</p>
<p><strong>Care Tips:- Clean your copperware by hand and avoid dishwasher as the detergent can cause oxidation leading to permanent damage. Use a solution of equal quantities vinegar or lemon juice and salt diluted with some water at such times but don't use it regularly. Also avoid scratchy cleaners like steel wool.<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;</strong></p>",1027,8,Steel Copper Dinner Sets,Copper-stainless-steel-traditional-dinner-set-of thali-plate-bowls-glass-and-spoon-beautifully-handcrafted-tableware-for-gift,,2,2,False,True,1,True,True,True,False,True,,,Dinnerware-Set05,"Saturday, 21 September 2024","Monday, 06 January 2025",,,17,False,True,1,,True,0,True,[],[],[],[],[],[],[],[],[]
/content/commonImages/productImages/1fa_copper-brass-dinner-sets-copper-dinner-plates-bowl-glass-silver-hammered.jpg,False,0,0,3385,"Indian dinnerware copper traditional dinner set of thali plate, bowls, glass and spoon beautifully handcrafted tableware for gift","Each Product has its Standard capacity which is on trending now a tease day. They work well for a variety of uses. You can give a present this set to your love ones on the occasion of Anniversary Gift, Mother’s Day, Father’s Day, Christmas, Black Friday, Cyber Monday, Newly Married Couple and all other’s occasions.","<ul>
<li>Dinnerware Set of 3 Bowls, 1 Water Glass, 1 Dinner Plate Thali, 1 Dessert Spoon, 1 Sweet Dish</li>
<li>Thali Diameter: 31 Cm, Height: 3.5 Cm</li>
<li>Bowl Diameter: 8.5 Cm, Height: 4 Cm, Volume: 150 ML</li>
<li>Glass Diameter: 8 Cm, Height: 10 Cm, Volume: 350 ML</li>
</ul>",1027,8,Dinner Sets,Indian-dinnerware-copper-traditional-dinner-set-of-thali-plate-bowls-glass-and-spoon-beautifully-handcrafted-tableware-for-gift-parijat-handicraft-parijathandicraft,"                                                                                                                        Indian dinnerware copper traditional dinner set of thali plate, bowls, glass and spoon beautifully handcrafted tableware for gift.
                                    
                                    
                                    ",3500,4500,False,True,1,True,True,False,False,True,,, Dinnerware-Set06,"Friday, 20 September 2024","Saturday, 21 September 2024",1,4,73,False,True,1,,True,0,True,[],[],[],[],[],[],[],[],[]
/content/commonImages/productImages/248_brass-om-home-office-garden-lawn-decor-car-desk-table-counter-decoration.jpg,False,0,0,3384,"Brass Om Symbol Wall Decor, for Meditation Room, Yoga Studio, Office table, Counter, Temple Decor.","Elevate your living space with this exquisite brass sacred Om symbol, a captivating centerpiece for your meditation room or yoga studio. Crafted with meticulous attention to detail, this brass wall art effortlessly blends spirituality and sophistication. Its intricate design and warm metallic hue create a serene ambiance, inviting you to embrace tranquility and inner peace. Whether adorning your walls or gracing a tabletop, this Om symbol serves as a constant reminder to find balance and harmony amidst the chaos of daily life. Surround yourself with positive energy and let this elegant brass decor inspire you on your journey of self-discovery and mindfulness.","<ul>
<li><span style=""color: #843fa1;""><strong><span style=""font-size: 14pt;"">Elegant Decor: Add a touch of sophistication to your living space with this exquisite brass Om symbol wall art piece.</span></strong></span><br /><span style=""color: #843fa1;""><strong><span style=""font-size: 14pt;"">Meaningful Design: </span></strong></span></li>
<li><span style=""color: #843fa1;""><strong><span style=""font-size: 14pt;"">The sacred Om symbol represents the vibration of the universe, making it a perfect addition to meditation rooms or yoga studios</span></strong></span></li>
<li><span style=""color: #843fa1;""><strong><span style=""font-size: 14pt;"">Versatile Placement: This decorative wall hanging can be mounted on any wall to create a serene and calming atmosphere.</span></strong></span></li>
<li><span style=""color: #843fa1;""><strong><span style=""font-size: 14pt;"">Sturdy Construction: Crafted from high-quality brass, this wall decor is built to last and maintain its luster for years to come.</span></strong></span></li>
</ul>",1027,8,"Brass Om Symbol Wall Decor, for Meditation Room, Yoga Studio, Office table, Counter, Temple Decor.",B08MD5231B-Brass-Om-Symbol-Wall-Decor-for-Meditation-Room-Yoga-Studio-Office-table-Counter-Temple-Decor-brass-om-home-office-garden-lawn-decor-car-desk-table-counter-decoration-temple,"                                                                                                                                                                                                                                                                                                                                Brass Om Symbol Wall Decor, for Meditation Room, Yoga Studio, Office table, Counter, Temple Decor.

                                    
                                    
  ",899,1500,False,True,1,True,True,True,False,True,,,Om_10008,"Friday, 20 September 2024","Monday, 23 September 2024",,,88,False,True,,,True,0,True,[],[],[],[],[],[],[],[],[]
/content/commonImages/productImages/77d_brass-dinner-sets-copper-dinner-plates-bowl-glass.jpg,False,0,0,3382,"Indian dinnerware brass traditional dinner set of thali plate, bowls, glass and spoon beautifully handcrafted tableware for gift",".Dinnerware Set of 3 Bowls, 1 Water Glass, 1 Dinner Plate Thali, 1 Dessert Spoon, 1 Sweet Dish Bowl, 1 Thali, 1 Frok.
Thali Diameter: 31 Cm, Height: 3.5 Cm, Glass Diameter: 8 Cm, Height: 10 Cm, Volume: 350 ML, Bowl Diameter: 8.5 Cm, Height: 4 Cm, Volume: 150 ML
.This beautiful Brass dinner thali set has been handcrafted by skilled Indian craftsmen with care and is of exceptional quality.
.Cleaning Tips: 1. Foods like Dinner, etc. should not be kept in brass utensils. 2. Keep brass pieces as clean as possible. 3. Store at a low humidity place. 4. Ideally use natural cleaning methods like lemon or a solution of salt and water, lightly scrub and rinse
.Food served in a brass thali set adds a unique flavor to food. Brass is one of the most ancient metals that holds numerous benefits.","<p>Each Product has its Standard capacity which is on trending now a theas day. They work well for a variety of uses. You can give a present this set to your love ones on the occasion of Anniversary Gift, Mother&rsquo;s Day, Father&rsquo;s Day, Christmas, Black Friday, Cyber Monday, Newly Married Couple and all other&rsquo;s occasions.</p>",1027,8,Dinner Set,Indian-dinnerware-brass-traditional-dinner-set-of-thali-plate-bowls-glass-and-spoon-beautifully-handcrafted-tableware-for-gift,                                                                                                                                                                                                                                                                                                                                                                                                                                                        Indian dinnerware brass traditional dinner set of thali plat,8999,10000,False,True,1,True,True,True,False,True,,, Dinnerware-Set02,"Friday, 16 August 2024","Saturday, 21 September 2024",1,3,74,False,True,,,False,0,True,[],[],[],[],[],[],[],[],[]
/content/commonImages/productImages/47c_love-bird-peason-for-home-office-desk-counter-3.jpg,False,0,0,3374,PARIJAT HANDICRAFT Brass Lovely Decorative Birds Statue Figurine Home Decoration Decor Gift for Romance and Love,Artist of this best has been well known from the decades for their beautiful handwork. the birds made up of brass that can be used for office and home decor. It’s great in terms of look and also durable. just a wipe with dry cloth will make it look new again.,"<p><em><strong><span style=""font-size: 12pt;"">⦁ Height:- 5 Inch Width:-2.7 Inch Length:- 5 Inch Weight:- 630 Grams.</span></strong></em><br /><em><strong><span style=""font-size: 12pt;"">⦁ Product Material Brass. Handmade, work very well Metal material, durable, easy to clean.</span></strong></em><br /><em><strong><span style=""font-size: 12pt;"">⦁ It can be placed in your room to refresh the decor appeal of short spaces. Also a good gift and personal collection. No matter view from which point, it is a work of art.</span></strong></em><br /><em><strong><span style=""font-size: 12pt;"">⦁ Its Great In Terms Of Look And Also Durable . Just A Wipe With Dry Cloth Will Make It Look New Again .</span></strong></em></p>",1027,8,Brass Birds Statue,Brass-Lovely-Decorative-Birds-Statue-Figurine-Home-Decoration-Decor-Gift-for-Romance-and-Love-Also-a-good-gift-and-personal-collection-No-matter-view-from-which-point-it-is-a-work-of-art.,                                                                                                                                                                                                                                                                                                                                Artist of this best has been well known from the decades for their beautiful handwork. the birds made up of brass that can be used for office and home decor. It’s great in terms of,6050,6350,False,True,1,True,True,True,False,False,,,brass-bird-5534,"Tuesday, 02 April 2024","Sunday, 22 September 2024",1,4,0,False,True,1,1,True,0,True,[],[],[],[],[],[],[],[],[]
/content/commonImages/productImages/320_Love_Pigeon_1.jpg,False,0,0,3373,Set of 2 Brass feng Shui Lovely Decorative Birds Statue Figurine Home Decor Gift for Romance and Love Pigeon,Artist of this best has been well known from the decades for their beautiful handwork. the birds made up of brass that can be used for office and home decor. It’s great in terms of look and also durable. just a wipe with dry cloth will make it look new again.,"<p><em><strong><span style=""font-size: 14pt;"">⦁ Height:- 5 Inch Width:-2.7 Inch Length:- 5 Inch Weight:- 620 Grams of Each.</span></strong></em><br /><em><strong><span style=""font-size: 14pt;"">⦁ Product Material Brass. Handmade, work very well Metal material, durable, easy to clean.</span></strong></em><br /><em><strong><span style=""font-size: 14pt;"">⦁ It can be placed in your room to refresh the decor appeal of short spaces. Also a good gift and personal collection. No matter view from which point, it is a work of art.</span></strong></em><br /><em><strong><span style=""font-size: 14pt;"">⦁ Its Great In Terms Of Look And Also Durable . Just A Wipe With Dry Cloth Will Make It Look New Again .</span></strong></em></p>",1027,8,Brass Birds Statue,Brass-feng-Shui-Lovely-Decorative-Birds-Statue-Figurine-Home-Decor-Gift-for-Romance-and-Love-Pigeon-can-be-placed-in-your-room-to-refresh-the-decor-appeal-of-short-spaces-Also-a-good-gift-and-personal-collection-No-matter-view-from-which-point-it-is-a-work-of-art.,"                                                                                                                                                                Artist of this best has been well known from the decades for their beautiful handwork. the birds made up of brass that can be used for office and home decor. It’s great in terms of look and also durable. just a wipe with dry cloth will make it look new again.
                                    
                                    
   ",11050,11400,False,True,1,True,True,True,False,False,,,brass-bird-5535,"Tuesday, 02 April 2024","Thursday, 23 January 2025",1,4,7,False,True,1,1,True,0,False,[],[],[],[],[],[],[],[],[]
/content/commonImages/productImages/59a_Brass_Aladdin_Genie_Lamps1.jpg,False,0,0,3370,Brass Aladdin Genie Lamps Incense Burners (4-INCH),"This lovely genie lamp is made of brass and embossed with a floral design. The top stopper is removable. It is approximately 3"" tall and 6"" wide. This Aladdin lamp makes a lovely decor piece. This is the perfect little incense burner. I have no idea why some people are saying otherwise. You are not suppose to put a cone incense inside the lamp, but on top of the small cone disc that comes with the lamp. You place it in the opening of the lamp to cover it and let the cone burn. Also, you can use the spout to place stick incense into, or the opened top, when not burning a cone. It's a great piece to add to your house, even when not in use.","<p><em><strong><span style=""font-size: 12pt;"">⦁ An exotic addition to any home or office</span></strong></em><br /><em><strong><span style=""font-size: 12pt;"">⦁ Please use safely when in use</span></strong></em><br /><em><strong><span style=""font-size: 12pt;"">⦁ Ornately embossed Updated a brass plate is included, for cone incense burning</span></strong></em><br /><em><strong><span style=""font-size: 12pt;"">⦁ Color: Golden</span></strong></em><br /><em><strong><span style=""font-size: 12pt;"">⦁ Handcrafted in India</span></strong></em></p>",1027,8,Brass Aladdin Genie Lamps,Brass-Aladdin-Genie-Lamps-Incense-Burners-Ornately-embossed-Updated-a-brass-plate-is-included-for-cone-incense-burning.,"                                                                                                                                                                This lovely genie lamp is made of brass and embossed with a floral design. The top stopper is removable. It is approximately 3"" tall and 6"" wide. This Aladdin lamp makes a lovely decor piece. This is the perfect little incense burner. I have no idea why some people are saying otherwise. You are not suppose to put a cone incense inside the",6390,6690,False,True,1,True,True,True,False,False,,,brass-chirag-0100A,"Friday, 29 March 2024","Friday, 20 September 2024",1,4,8,False,True,1,1,True,0,True,[],[],[],[],[],[],[],[],[]
/content/commonImages/productImages/e70_Decorative_Items.jpg,False,0,0,3369,"Brass Horse Cart Showpiece for Home Decor Idol, Brass Statue, Valuable Collectible, Handcrafted Home Decorative Items","Horse is a solid-hoofed plant-eating domesticated mammal with a flowing mane and tail, used for riding, racing, and to carry and pull loads. Use the statue to bring a touch of Indian culture to your Home Décor. This product made Of Brass Material and Beautiful colored stone work to make the figure look as real. It is a wonderful item for decoration at Festive times. Also Commonly used during Indian festive occasions like Diwali and Navratras. Enhance the decor value of the temple, house, office, hotel, etc.","<p><em><strong><span style=""font-size: 10pt;"">⦁ Horse is a solid-hoofed plant-eating domesticated mammal with a flowing mane and tail, used for riding, racing, and to carry and pull loads.</span></strong></em><br /><em><strong><span style=""font-size: 10pt;"">⦁ This product made Of Brass Material and Beautiful colored stone work to make the figure look as real. It is a wonderful item for decoration at Festive times. Also Commonly used during Indian festive occasions like Diwali and Navratras.</span></strong></em><br /><em><strong><span style=""font-size: 10pt;"">⦁ Dimension LxBxH - 5 x2.5 x 3 inches</span></strong></em><br /><em><strong><span style=""font-size: 10pt;"">⦁ Enhance the decor value of the temple, house, office, hotel, etc. Great for gifting during weddings, anniversaries, house warming ceremonies, new venture, award ceremonies etc.</span></strong></em><br /><em><strong><span style=""font-size: 10pt;"">⦁ Complete the decor for your Festival celebration in the utmost of style or add some Indian flair. Order the Handmade Brass Item today!</span></strong></em></p>",1027,8,Brass Horse Cart Showpiece,Brass-Horse-Cart-Showpiece-for-Home-Decor-Idol-Brass-Statue-Valuable-Collectible-Handcrafted-Home-Decorative-Items.,"                                                                                Horse is a solid-hoofed plant-eating domesticated mammal with a flowing mane and tail, used for riding, racing, and to carry and pull loads. Use the statue to bring a touch of Indian culture to your Home Décor. This product made Of Brass Material and Beautiful colored stone work to make the figure look as real. It is a wonderful item for decoration at Festive times. Also Commonly used during Indian festive occasions ",4945,5250,False,True,1,True,True,True,False,False,,,brass-figurines-2531A,"Friday, 29 March 2024","Friday, 20 September 2024",1,4,8,False,True,1,1,True,0,True,[],[],[],[],[],[],[],[],[]
